customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
31,Miss Melanie Mcdonald MD,castanedamelinda@example.net,Ukraine,2021-01-13,Standard,9202.14
32,Deborah Mclaughlin,thomasschwartz@example.org,Micronesia,2020-01-09,Basic,5691.41
33,Cody Martin,christopherelliott@example.com,Zambia,2021-07-03,Basic,6079.60
34,Shawn Russell,leedavid@example.net,Wallis and Futuna,2024-06-12,Standard,9815.80
35,Anna Peters,jessica30@example.net,Vietnam,2021-05-31,Standard,7609.50
36,Kristen Williams,lewisjames@example.net,Austria,2023-08-09,Premium,59.42
37,Colton Martin,rachelburnett@example.org,Brazil,2020-12-16,Basic,7838.71
38,Justin Hansen,mcollier@example.com,Mauritius,2021-02-18,Basic,5610.15
39,Michelle Hickman,jennifer56@example.org,Mongolia,2021-12-20,Standard,1171.93
40,Larry Morris,alexanderrobert@example.org,Azerbaijan,2024-06-29,Standard,7206.85
41,Patricia Parks,jennifer57@example.net,Albania,2020-02-10,Standard,9028.06
42,Steven Smith,mbrown@example.net,Benin,2024-04-12,Premium,1114.12
43,Bryan Mays,fjones@example.org,Grenada,2021-11-26,Standard,2494.84
44,Carrie Banks,travislowe@example.net,Bouvet Island (Bouvetoya),2022-05-06,Standard,1358.63
45,Dylan Estes,davidwells@example.net,Austria,2023-05-22,Basic,2744.92
46,Dr. Adriana Anderson,mbell@example.net,Nauru,2024-02-21,Premium,4379.71
47,Brian Bradley,burkeamy@example.org,Papua New Guinea,2021-08-20,Premium,4856.93
48,Michelle Baker,mrodriguez@example.org,Saint Helena,2023-12-10,Standard,7826.23
49,Michael Morales,mindymedina@example.com,Netherlands,2020-06-14,Standard,5441.45
50,Ralph Downs,rosalescynthia@example.org,Australia,2023-08-27,Standard,2550.57
51,Christopher Weaver,thompsonbrian@example.com,Isle of Man,2025-11-26,Standard,3775.27
52,Kelly Johnson,nguyenrobert@example.net,Spain,2021-02-25,Standard,1609.23
53,Megan Norton,kristengrant@example.com,Congo,2023-11-14,Standard,678.47
54,Kevin Mcfarland,hammondkim@example.net,Ukraine,2021-02-14,Premium,3762.81
55,James Hopkins,harrisvincent@example.com,Western Sahara,2022-12-26,Standard,1373.66
56,Nicholas Cruz,cheyenne70@example.net,Solomon Islands,2021-06-19,Premium,3181.77
57,Lindsay Davis,dwise@example.com,Ukraine,2025-01-13,Premium,3438.09
58,Gary Cabrera,gabrielle92@example.org,Burundi,2024-08-31,Basic,7699.37
59,Karina Miller,matthewssara@example.net,Yemen,2021-10-25,Premium,2125.97
60,Yesenia Lopez,nathan42@example.net,Canada,2025-01-17,Premium,3774.75
61,Joshua Perkins,dylan61@example.net,Canada,2022-10-23,Standard,2965.35
62,James Vargas,michaelfreeman@example.org,Portugal,2023-10-11,Basic,2230.16
63,Nancy Owens,davidbaird@example.org,Fiji,2025-02-04,Basic,6626.24
64,George Booth,fryjames@example.com,Bahrain,2025-04-30,Standard,6551.30
65,Courtney Johnson,tcastillo@example.org,United States Minor Outlying Islands,2024-04-17,Basic,9378.04
66,Ashley Thomas,alisonhull@example.net,Bhutan,2023-02-18,Basic,4770.56
67,Daniel Bell,morsesteve@example.com,Dominica,2023-03-02,Standard,8492.86
68,Randy Moore,bmiller@example.org,Bahamas,2020-04-04,Standard,3847.96
69,Nathan Martinez,robertphillips@example.com,Fiji,2020-01-18,Premium,2795.33
70,Stacey Phillips,andradewilliam@example.org,Azerbaijan,2020-02-14,Basic,1080.15
71,Victoria Johnston,gilesmatthew@example.net,Turkey,2020-09-19,Basic,7954.55
72,Ricky Ballard,danieljacobson@example.org,Malta,2022-08-06,Standard,960.78
73,Kevin Mcmillan,ingramjoe@example.com,Solomon Islands,2025-08-15,Standard,278.69
74,Amy Wallace,jennifersingleton@example.com,Iraq,2023-04-30,Basic,7762.29
75,Frank Beard,gregory30@example.org,Dominican Republic,2021-10-22,Basic,3843.07
76,Kristopher Garcia,boylejonathan@example.org,Guinea,2020-04-07,Standard,773.01
77,Jennifer Harmon,joshuascott@example.net,Uzbekistan,2025-05-20,Standard,2732.31
78,Jessica Alexander,christopher30@example.net,United Arab Emirates,2025-04-23,Premium,5580.56
79,Steven Peterson,kingdavid@example.org,Cuba,2020-05-09,Standard,8054.94
80,David Cobb,jenna95@example.net,Libyan Arab Jamahiriya,2025-04-06,Premium,6795.38
81,Stephen Sparks,brianhall@example.org,France,2024-07-26,Basic,2808.14
82,Amanda Baker,kelly08@example.net,Barbados,2020-08-29,Basic,2494.12
83,Ashley Washington,janet61@example.com,Martinique,2025-08-04,Standard,870.56
84,Vernon Levy,taylorjared@example.com,United Kingdom,2025-03-08,Basic,3656.75
85,Justin Wright,ahayes@example.org,Saint Barthelemy,2024-11-07,Basic,4120.57
86,Kayla Cooper,elizabeth71@example.org,Sweden,2020-12-28,Premium,8140.09
87,Tammy Gregory,reynoldsnicholas@example.net,Malta,2024-07-12,Standard,6116.52
88,Brandy Woodward,carmen54@example.org,Burundi,2024-10-10,Premium,6929.18
89,Donald Adams,henryward@example.org,Martinique,2025-01-21,Standard,4608.90
90,Jessica Webb,suzannefreeman@example.net,Macao,2023-06-14,Standard,7143.87
91,Edward Miller,christopher56@example.com,Portugal,2020-02-29,Basic,4598.24
92,Dr. William Roach,justin45@example.net,Uzbekistan,2023-05-31,Basic,5106.88
93,Jeffrey Miller,jerry10@example.com,Bermuda,2022-12-31,Standard,573.97
94,Madison Soto,zflores@example.org,Martinique,2021-10-17,Standard,6319.92
95,Alexa Franklin,nrogers@example.com,Eritrea,2025-04-16,Premium,7604.45
96,Matthew Henderson,wisekeith@example.com,French Southern Territories,2020-05-10,Basic,4279.37
97,Andrew Benitez,tiffanymoore@example.org,Guinea,2025-09-04,Basic,5611.45
98,Maria Wallace,ebuchanan@example.net,China,2022-07-07,Premium,3724.10
99,Daniel Pearson,erin32@example.org,Bahamas,2022-05-03,Premium,4621.94
100,Michael Trujillo,sanchezwendy@example.com,China,2023-10-04,Standard,9523.18
101,Justin Mckinney,eric54@example.net,Lesotho,2023-02-17,Basic,2613.92
102,Barbara Phillips,mindy99@example.org,Ireland,2024-06-08,Standard,2825.22
103,Michelle Hansen,austin16@example.org,Taiwan,2023-11-11,Premium,6289.62
104,Jimmy George,michaelbennett@example.net,Bangladesh,2023-11-21,Basic,7033.29
105,Jason Snow,harrisjulie@example.net,Saint Kitts and Nevis,2024-12-31,Basic,3570.63
106,Wesley Howard,hurstgina@example.com,China,2024-03-10,Basic,728.89
107,Virginia Berry,kellybell@example.org,Senegal,2021-12-17,Premium,1366.10
108,James Wong,davidramirez@example.com,Malawi,2024-09-19,Standard,1243.92
109,Nicholas Schultz,christopher18@example.org,United Kingdom,2023-09-15,Premium,6681.06
110,Brian Burke,jillosborne@example.net,Australia,2025-10-24,Premium,505.16
111,Melissa Arnold,rachel61@example.net,Swaziland,2024-01-24,Standard,713.97
112,Ryan Leach,smithryan@example.net,Italy,2020-03-11,Premium,8446.87
113,Philip Howard,lawrence30@example.net,Christmas Island,2022-03-10,Basic,7422.83
114,Gregory Short,zwatson@example.com,Lao People's Democratic Republic,2024-01-01,Basic,8608.62
115,Sara Mathews,wheelerzachary@example.com,Mongolia,2022-11-28,Standard,8248.16
116,Joshua Romero,dustin89@example.com,Mauritania,2025-08-10,Basic,4827.95
117,Lee Jennings,beckyfleming@example.net,Niue,2024-07-31,Standard,6430.74
118,Sean Smith,melissa96@example.org,Macao,2024-05-06,Basic,5825.93
119,Joseph Watts,meyerjeremy@example.com,Rwanda,2020-05-31,Premium,848.39
120,Patricia Davis,vancejasmine@example.net,Czech Republic,2025-11-14,Premium,5945.73
121,Tamara Huff,dpalmer@example.net,Sweden,2020-08-04,Standard,713.46
122,Brenda Salazar,daviscarlos@example.net,Kenya,2020-05-14,Standard,7693.83
123,Susan Garcia,jacquelinecharles@example.com,Ethiopia,2022-08-19,Premium,3606.70
124,Jason Smith,paulnelson@example.net,Bulgaria,2020-09-24,Basic,8241.41
125,Steven Nelson,mooretravis@example.org,Djibouti,2020-03-24,Basic,8034.60
126,Craig Long,solomonandrea@example.com,Portugal,2020-05-23,Basic,8225.73
127,Darrell Watson,james86@example.org,British Indian Ocean Territory (Chagos Archipelago),2021-04-22,Basic,348.76
128,Michelle Thomas,jimmyharris@example.com,Lithuania,2020-07-12,Standard,3757.38
129,Christopher Flores,tanya57@example.net,Tonga,2020-08-20,Basic,2763.31
130,Jeffery Cook,jerry98@example.net,Egypt,2021-06-26,Standard,8877.82
131,Jenna Chen,alyssasutton@example.net,Germany,2021-09-10,Premium,7816.13
132,Kenneth Carlson,lwalls@example.net,Qatar,2021-06-25,Standard,2150.26
133,Gregory Moon,james88@example.org,Oman,2020-05-07,Basic,7254.18
134,Morgan Johnson,nbird@example.com,Aruba,2022-03-28,Standard,3983.73
135,Tina Brewer,harrischarles@example.com,United States of America,2024-02-13,Premium,1497.32
136,Rebecca Cervantes,haileysuarez@example.net,Singapore,2024-04-25,Basic,9839.40
137,Tracy Brock,brittany81@example.net,Pitcairn Islands,2021-07-07,Standard,2717.57
138,Tiffany Campbell,apeterson@example.org,Togo,2022-08-03,Standard,2429.66
139,Sara Rogers,davidhernandez@example.com,Lithuania,2021-11-17,Premium,5493.27
140,Mark Wilson,loganrebekah@example.com,Guyana,2023-08-17,Standard,4561.24
141,Frank Carson,lisa74@example.org,Guatemala,2020-01-27,Standard,6019.52
142,Tracy Torres,lewisalison@example.com,Armenia,2023-02-02,Standard,211.47
143,Dr. Donald Williams,dwood@example.net,French Polynesia,2024-11-23,Basic,6719.60
144,Shannon Delgado,paigearmstrong@example.com,Hong Kong,2025-04-29,Standard,3390.04
145,Matthew Parker,williamvargas@example.net,Bolivia,2023-02-23,Premium,633.79
146,William Davis,jonathanmcguire@example.net,French Polynesia,2023-03-31,Standard,6205.36
147,Erika Torres,caitlinklein@example.net,United States Virgin Islands,2023-07-06,Standard,8093.61
148,Tammy Greene DVM,andrewwilson@example.com,Antigua and Barbuda,2020-03-28,Standard,9137.48
149,Matthew Ortiz,hfisher@example.net,Croatia,2024-08-23,Standard,1427.01
150,Susan Bailey,kerri51@example.org,Italy,2020-02-16,Standard,6540.30
151,Amber Simmons,curtisjoel@example.org,Ecuador,2020-12-30,Basic,437.08
152,Rodney Wright,laura02@example.org,British Virgin Islands,2022-04-29,Standard,9565.21
153,Brian Rogers,matthew57@example.net,Mongolia,2024-07-22,Standard,2321.31
154,Susan Davis,manuel88@example.net,Gambia,2022-04-30,Premium,9510.58
155,Lisa Lee,gonzalesjames@example.org,Germany,2024-07-01,Standard,7748.97
156,William Weaver,elizabethsmith@example.com,Afghanistan,2022-10-19,Standard,6448.54
157,Noah Randall,lisa77@example.com,Indonesia,2024-03-07,Standard,7648.57
158,Maria Mack,jamesmay@example.com,Egypt,2020-12-25,Standard,9744.73
159,Brian Cox,tiffany05@example.org,Syrian Arab Republic,2021-08-29,Basic,577.38
160,Lisa Levy,aaronbrooks@example.net,Tokelau,2023-04-28,Standard,5807.02
161,Brandon Chambers,robert74@example.org,Tuvalu,2023-06-29,Premium,2636.19
162,Morgan Greene,amy06@example.org,New Caledonia,2020-06-17,Standard,6402.60
163,Allison Phillips,nhernandez@example.org,Rwanda,2020-04-19,Standard,6440.50
164,John Roberson,raymond08@example.org,Guyana,2023-05-18,Basic,8154.34
165,Jerry Clark,fernandeznoah@example.net,Angola,2021-07-12,Standard,1440.40
166,Christopher Cook,nmassey@example.com,Syrian Arab Republic,2023-10-02,Standard,3703.75
167,James Schroeder,zesparza@example.net,Sri Lanka,2020-07-29,Basic,8337.83
168,David Ryan,nsingh@example.org,American Samoa,2020-01-13,Premium,9904.14
169,Vanessa Miller,isellers@example.net,Ukraine,2023-04-01,Basic,5305.21
170,Justin Price,millerchristine@example.net,Kyrgyz Republic,2021-11-17,Standard,4825.20
171,Michael Shaw,drewjohnson@example.com,Switzerland,2025-12-11,Standard,783.23
172,April Collins,omar07@example.net,Falkland Islands (Malvinas),2021-03-23,Standard,5104.27
173,Julie Beck,david31@example.org,Sri Lanka,2020-09-16,Basic,345.22
174,Steven Stevens,paigebrown@example.org,Dominica,2022-07-21,Basic,301.71
175,Nathan Larsen,ksingh@example.com,Syrian Arab Republic,2025-03-16,Basic,4528.52
176,Nicholas Blake,fhorn@example.com,Czech Republic,2022-02-23,Basic,6134.04
177,Corey Pratt,travisallison@example.org,American Samoa,2023-01-23,Standard,861.62
178,Kerry Morris,dustin99@example.com,Angola,2023-06-13,Basic,4123.50
179,Miguel Schultz,mitchell39@example.org,Austria,2020-12-04,Basic,7673.29
180,Kenneth Thompson,jessica40@example.org,Jamaica,2023-12-07,Standard,1612.69
181,Crystal Grant,brooksjoseph@example.com,Cyprus,2020-07-16,Standard,3491.37
182,Bill Sparks,usmith@example.org,Zambia,2020-08-10,Standard,3342.62
183,Wayne Taylor,osanchez@example.org,Egypt,2024-05-15,Premium,5279.98
184,Sonya Wright,kingshawn@example.com,Suriname,2024-07-13,Standard,3751.48
185,Jennifer Smith,lhernandez@example.org,Brunei Darussalam,2022-08-28,Standard,3800.33
186,Michael Ward,vargasalexander@example.net,Austria,2021-05-16,Standard,1542.46
187,Meagan Williams,kinggina@example.com,Grenada,2023-07-04,Basic,1791.78
188,Samuel Diaz,williamgarcia@example.org,Korea,2023-12-24,Standard,5016.45
189,Timothy Mccarthy,edward54@example.net,Pitcairn Islands,2023-06-23,Premium,4393.66
190,Samantha Allen,ophillips@example.org,Germany,2023-01-08,Basic,8803.54
191,Alexander Smith,shawnmason@example.com,Heard Island and McDonald Islands,2022-08-01,Basic,6075.33
192,Tiffany Matthews,ugarza@example.net,Singapore,2023-11-19,Standard,9585.78
193,Robert Perez,rhondagibson@example.com,United Kingdom,2020-09-01,Standard,6923.48
194,Timothy Wilkerson,ldavis@example.org,Montenegro,2025-04-16,Basic,8319.59
195,Travis Goodwin,lsimmons@example.net,China,2025-04-04,Standard,3348.04
196,Victoria Perez,robertostone@example.net,Singapore,2024-08-02,Standard,6763.75
197,Maria Mason,steeleamanda@example.net,Romania,2023-10-01,Premium,6658.82
198,Sheryl Davis,brian48@example.net,Slovakia (Slovak Republic),2021-03-25,Standard,3820.28
199,Christine Gregory,kelly48@example.org,Latvia,2024-08-29,Standard,9559.78
200,Mark Hurst,andreakelly@example.org,Ethiopia,2021-06-12,Basic,4459.14
201,Shawna Lozano PhD,cwagner@example.org,Benin,2025-10-14,Basic,3797.42
202,Patricia Gilbert,shepardtim@example.net,Saudi Arabia,2020-09-29,Standard,8804.94
203,Amanda Clark,kevinswanson@example.org,Vanuatu,2020-08-26,Premium,9557.17
204,Vanessa Martinez,zberger@example.org,Indonesia,2021-08-07,Basic,5626.30
205,Taylor Johnson,vincentharvey@example.com,Christmas Island,2024-08-10,Standard,8118.31
206,Gerald Kline,charleskrause@example.net,Japan,2024-08-10,Basic,4349.41
207,Christie Taylor,pamela99@example.com,Argentina,2024-07-14,Basic,437.50
208,Cody Malone,kspencer@example.org,Vietnam,2022-08-08,Standard,385.98
209,Jaime Lamb,kevin06@example.com,Congo,2024-07-18,Basic,4688.08
210,Ashley Clark,richard21@example.org,Mayotte,2020-04-06,Standard,7869.35
211,Matthew Kim,kristawheeler@example.com,Romania,2022-02-03,Premium,5798.19
212,John Fowler,casey81@example.org,Guadeloupe,2022-08-01,Standard,4012.54
213,Samantha Garza,craig78@example.net,Saint Martin,2020-05-14,Premium,4827.83
214,Danielle Jones,smithjulia@example.org,Palau,2020-09-28,Standard,3623.08
215,Diane Brown,nataliearmstrong@example.net,Benin,2025-12-22,Standard,3666.19
216,Melissa Moore,woodtracy@example.org,Hong Kong,2024-09-10,Standard,1929.23
217,Jamie Valencia,bgraham@example.org,Belgium,2023-03-15,Standard,370.75
218,Lindsey Brooks,timparks@example.org,Netherlands,2023-12-16,Basic,8693.91
219,Adam Simmons,michaelingram@example.net,Tokelau,2022-07-10,Premium,5113.46
220,Melissa Odonnell,kevinhunter@example.com,Venezuela,2021-02-18,Standard,1226.38
221,Rebecca Perkins,abell@example.net,Comoros,2022-07-13,Standard,7530.98
222,Katelyn Mcdaniel,martinezbrianna@example.net,Albania,2022-03-04,Standard,4030.47
223,Michael Olson,rebeccaperry@example.net,Burundi,2021-10-05,Standard,8375.97
224,Scott Williams,dlopez@example.com,Brazil,2025-11-14,Standard,7863.45
225,Shelley Walter,conradmary@example.net,Mali,2020-02-11,Standard,7566.40
226,Pamela Mccoy,jessicaflores@example.org,Latvia,2020-12-14,Basic,6228.75
227,Kenneth Martinez,charlesgates@example.com,Hungary,2021-08-18,Basic,8348.44
228,Madison Frazier,harrismark@example.org,Malta,2024-06-12,Standard,777.88
229,Jennifer Peterson,brittany97@example.org,Lao People's Democratic Republic,2023-12-05,Standard,5600.93
230,Robert Singh,brentspencer@example.com,Portugal,2023-03-21,Premium,6426.26
231,Charles Thompson,markmclaughlin@example.org,South Georgia and the South Sandwich Islands,2023-12-19,Premium,6365.01
232,John Jacobs,kingoscar@example.org,United States Virgin Islands,2022-03-13,Standard,8475.46
233,Sara Fletcher,sandra92@example.org,Liberia,2021-03-06,Standard,913.04
234,William Phillips,robert90@example.com,Samoa,2023-01-07,Standard,1695.89
235,Brandy Mccarthy,jamiesharp@example.org,Thailand,2024-01-14,Standard,4002.93
236,Sherri Diaz,ericsexton@example.org,Grenada,2021-07-18,Standard,522.88
237,Margaret Prince,harperderek@example.org,Fiji,2023-05-28,Standard,389.92
238,Renee Johnson,yolandastewart@example.com,Togo,2025-03-02,Standard,3152.91
239,Kenneth Cohen,wallacealex@example.org,Mauritius,2022-08-16,Standard,6286.07
240,Kathleen Bennett,ymartin@example.com,Moldova,2020-06-04,Standard,777.36
241,Jason Tucker,cameroncheryl@example.org,Costa Rica,2023-09-27,Standard,2206.48
242,Sandra Wood,paulsmith@example.org,Gambia,2022-12-23,Standard,2367.54
243,Ashley Rivas,hchoi@example.com,Central African Republic,2025-10-23,Basic,8697.44
244,Michael Barry,jasminelopez@example.com,Turks and Caicos Islands,2021-11-27,Standard,5038.78
245,Justin Grant,khuerta@example.org,United States Minor Outlying Islands,2023-06-21,Standard,4136.74
246,Robert Blake,dbush@example.org,Malaysia,2023-05-05,Standard,3967.73
247,Heather Taylor,stephanie37@example.org,Canada,2024-11-05,Standard,8808.58
248,Andrew Collins,xrussell@example.com,Tajikistan,2023-02-27,Premium,9590.44
249,Olivia Johnson,fergusonadam@example.net,Montenegro,2022-01-22,Standard,9403.64
250,Allison Turner,yfrank@example.net,Nepal,2023-01-18,Basic,9345.80
251,Carolyn Atkinson,goodwinbrenda@example.org,Wallis and Futuna,2025-06-18,Premium,8117.98
252,Jordan Moore,hogandanielle@example.net,Kiribati,2023-12-29,Standard,1993.32
253,Brianna Rogers,frazierandrea@example.net,British Virgin Islands,2021-06-08,Basic,7154.25
254,Martin Williams,amandasalinas@example.com,Mayotte,2020-03-04,Standard,1589.32
255,Robert Morrison PhD,barkerandrew@example.net,India,2022-10-17,Basic,5265.47
256,Tiffany Shepard,michaelhernandez@example.net,Ethiopia,2021-05-01,Standard,189.29
257,Elizabeth Perez,smithmelissa@example.com,Holy See (Vatican City State),2020-12-08,Premium,5648.83
258,Tammy Benjamin,diazsteve@example.org,Uganda,2022-12-10,Basic,4311.39
259,Adam Burke,andrewcannon@example.org,Austria,2024-02-07,Standard,1149.58
260,Angie Young,staffordbetty@example.com,French Southern Territories,2022-03-12,Basic,3905.63
261,Annette Carter,fbridges@example.net,Slovakia (Slovak Republic),2022-02-09,Standard,4748.56
262,Makayla Martinez,hollycochran@example.net,Belize,2020-01-19,Standard,9796.39
263,Cathy Valencia,allisonkidd@example.net,Uzbekistan,2021-01-11,Basic,6600.38
264,Nathan Lin,ifigueroa@example.org,Morocco,2024-06-23,Standard,3826.70
265,Traci Flores,rodriguezjorge@example.com,Austria,2020-11-04,Basic,7877.15
266,Bobby Torres,gwilliams@example.net,Tokelau,2023-07-25,Standard,8316.77
267,Caleb Lopez,deborah61@example.org,Israel,2023-11-23,Basic,8391.03
268,Anita Valentine,erika20@example.com,Madagascar,2023-06-29,Basic,84.88
269,Sarah Kelley,jenningsrichard@example.org,Egypt,2021-04-15,Premium,7463.58
270,Michelle Salinas,mgriffith@example.com,Sao Tome and Principe,2022-10-18,Standard,7349.37
271,Autumn Green,fcollins@example.com,Israel,2025-12-13,Standard,8759.97
272,Anthony Bates,stephanie66@example.com,Myanmar,2022-04-21,Premium,19.28
273,Justin Diaz,allisonfigueroa@example.org,Hong Kong,2023-12-02,Basic,8055.40
274,Sharon Pena,brooksjames@example.com,Brunei Darussalam,2021-09-02,Premium,2066.90
275,Stephanie Herrera,jordan70@example.com,Bangladesh,2025-01-13,Standard,795.61
276,Joseph Kelly,rbyrd@example.org,Egypt,2021-05-30,Premium,6161.00
277,Charles Smith,joseph18@example.org,Uzbekistan,2023-05-15,Basic,8154.17
278,John Marquez,victoria26@example.org,Bouvet Island (Bouvetoya),2023-04-03,Basic,2245.29
279,Emily Jones,ryanbridges@example.com,Bangladesh,2020-10-11,Standard,2840.21
280,Carmen Powell,gregory32@example.net,Saint Kitts and Nevis,2025-01-04,Standard,126.07
281,Jennifer Thompson,cameronalvarado@example.net,Zimbabwe,2020-06-19,Premium,7159.53
282,Christopher Anderson,mary09@example.org,Niger,2025-09-11,Standard,141.40
283,Nicole Sharp,isaiahcarter@example.org,Japan,2021-02-11,Standard,3913.62
284,Jeffrey Cabrera,henryvillanueva@example.com,Northern Mariana Islands,2020-04-15,Standard,9660.92
285,Cynthia Vang,hunterkeith@example.net,Azerbaijan,2021-10-05,Standard,204.73
286,Mr. Christopher Mcdowell MD,jhogan@example.org,El Salvador,2022-07-24,Standard,9464.39
287,Deborah Ferrell,pricefrancisco@example.org,Chad,2020-02-07,Standard,6409.01
288,Colleen Cooke,robinsonsusan@example.org,Kyrgyz Republic,2020-06-27,Standard,923.93
289,Amber Parks,huanglisa@example.org,Equatorial Guinea,2024-05-22,Premium,9950.25
290,Jordan Stevens,colleenmcintyre@example.net,Micronesia,2020-03-01,Premium,1838.98
291,Justin Bishop,sarah57@example.net,Cape Verde,2022-02-20,Standard,1529.31
292,Tyler Robinson,jonesmichelle@example.com,Maldives,2025-02-28,Standard,7242.59
293,David Heath,jimenezmichael@example.org,Djibouti,2022-01-15,Basic,2205.05
294,Michael Ward,jeremy44@example.com,Comoros,2022-08-09,Premium,3694.81
295,Christy Edwards,simspamela@example.com,Andorra,2020-11-23,Basic,7964.74
296,Ruben Walker,ofarmer@example.com,Ukraine,2025-01-18,Standard,2540.50
297,Dr. Wendy Williamson,nkerr@example.net,Guinea-Bissau,2024-01-05,Standard,5438.22
298,Mitchell Cole,torrespatricia@example.org,Marshall Islands,2023-01-23,Basic,8633.81
299,Darlene Gould,coleandrea@example.org,United States Minor Outlying Islands,2022-10-08,Standard,4984.27
300,Kristin Butler,morriszachary@example.net,Pitcairn Islands,2023-06-11,Basic,1839.55
301,Harold Clark,jefferydelacruz@example.com,Tokelau,2020-09-22,Standard,3677.88
302,Jenny Lewis,christina55@example.net,Iran,2022-12-19,Standard,1434.40
303,Michelle Thompson,gmunoz@example.net,Cuba,2025-10-29,Standard,7250.26
304,Beth Cook,jwilson@example.org,Kenya,2022-06-08,Basic,3940.74
305,Ashley Morris,scotttimothy@example.org,Sudan,2021-06-10,Standard,8011.52
306,Jim Potts MD,millerbenjamin@example.net,Cuba,2025-03-09,Premium,8821.82
307,Thomas Andrews,jacob58@example.com,Iraq,2021-02-01,Standard,2493.99
308,Alexander Castro,jgraham@example.net,Syrian Arab Republic,2020-05-10,Basic,6157.37
309,Morgan Castaneda,dixondonald@example.org,Moldova,2023-01-23,Standard,422.57
310,Linda Franco,patriciataylor@example.com,Dominica,2020-01-06,Standard,4082.18
311,Shawna Roberson,janeswanson@example.org,Solomon Islands,2022-06-04,Premium,1919.29
312,Sean Atkins,zlove@example.com,Hong Kong,2020-03-10,Premium,8991.01
313,Kathy Smith,sean15@example.com,Guinea,2022-02-19,Standard,4337.60
314,Catherine Davis,kempdavid@example.org,Svalbard & Jan Mayen Islands,2025-12-22,Standard,1425.75
315,Keith Nichols,opowell@example.com,France,2021-11-25,Standard,6137.70
316,Alexander Dougherty,timothywallace@example.com,Belarus,2020-10-08,Basic,8204.85
317,Tammie Williams,tarajones@example.com,Palestinian Territory,2021-12-25,Standard,719.81
318,Dr. Raymond Shepard,vadams@example.com,Iceland,2023-02-04,Standard,9823.70
319,Jose Dorsey,tonya79@example.org,Maldives,2022-03-05,Standard,2659.56
320,Kimberly Baker,kara73@example.com,Haiti,2021-06-06,Basic,781.82
321,Douglas Hunt,sally95@example.org,Libyan Arab Jamahiriya,2023-09-29,Basic,7280.64
322,Karen Jenkins,halljason@example.org,Peru,2022-01-14,Standard,1969.20
323,Jeffery Simpson,caseydawn@example.com,Uganda,2023-03-14,Premium,2970.10
324,Charles Warren,edwinking@example.org,Saint Pierre and Miquelon,2022-02-06,Standard,8943.94
325,Jessica Bell,aaron88@example.com,Bangladesh,2021-10-14,Standard,4150.42
326,Mr. Richard Bell,andrewflores@example.org,Zimbabwe,2022-12-26,Basic,1102.92
